country_id,country_name,region_id,region_name,market_id,mkt_name,commodity_id,cm_name,currency_id,cur_name,price_type_id,pt_name,unit_measure_id,um_name,price_month,price_year,price,mp_commoditysource
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,1.0,2007.0,0.29,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,2.0,2007.0,0.31,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,3.0,2007.0,0.32,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,4.0,2007.0,0.32,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,5.0,2007.0,0.33,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,6.0,2007.0,0.33,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,7.0,2007.0,0.33,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,8.0,2007.0,0.33,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,9.0,2007.0,0.34,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,10.0,2007.0,0.34,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,11.0,2007.0,0.35,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,12.0,2007.0,0.36,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,1.0,2008.0,0.35,The State Statistical Committee of the Republic of Azerbaijan
19,Azerbaijan,0,,225,National Average,58,Wheat flour,36,AZN,15.0,Retail,5.0,KG,2.0,2008.0,0.35,The State Statistical Committee of the Republic of Azerbaijan
